Date,Close/Last,Volume,Open,High,Low
01/03/2022,113.30,9399276,113.67,113.6753,113.30
12/31/2021,114.08,7989476,114.15,114.31,114.06
12/30/2021,114.12,5455434,113.99,114.13,113.83
12/29/2021,113.87,5933775,113.99,114.05,113.81
12/28/2021,114.21,5253786,114.43,114.45,114.17
12/27/2021,114.26,5436840,114.15,114.30,114.13
12/23/2021,114.20,5506661,114.29,114.31,114.07
12/22/2021,114.34,6171714,114.33,114.35,114.17
12/21/2021,114.24,12970210,114.07,114.32,113.97
12/20/2021,114.33,7382619,114.57,114.61,114.32
12/17/2021,114.50,7428096,114.55,114.68,114.47
12/16/2021,114.36,7566579,114.26,114.48,114.26
12/15/2021,114.32,7459084,114.23,114.445,114.11
12/14/2021,114.41,7503635,114.46,114.54,114.26
12/13/2021,114.63,8659260,114.51,114.705,114.46
12/10/2021,114.23,6501338,114.37,114.51,114.22
12/09/2021,114.20,8646766,114.28,114.386,114.12
12/08/2021,114.19,8050116,114.37,114.37,114.05
12/07/2021,114.49,6787061,114.52,114.71,114.45
12/06/2021,114.67,9416707,114.98,115.0391,114.6196
12/03/2021,115.07,7600888,114.50,115.24,114.46
12/02/2021,114.61,7759699,114.67,114.79,114.4001
12/01/2021,114.63,12772740,114.27,114.64,114.21
11/30/2021,114.77,13109000,114.87,115.1074,114.50
11/29/2021,114.58,8982838,114.15,114.60,114.13
11/26/2021,114.52,3258891,114.33,114.5769,114.20
11/24/2021,113.71,8472445,113.47,113.725,113.3905
11/23/2021,113.45,6275143,113.71,113.77,113.45
11/22/2021,113.90,6995331,114.14,114.23,113.82
11/19/2021,114.45,5688583,114.49,114.59,114.415
11/18/2021,114.23,4230789,114.05,114.28,114.03
11/17/2021,114.13,7173096,113.79,114.13,113.77
11/16/2021,113.86,7484034,113.92,114.11,113.84
11/15/2021,113.90,6405000,114.30,114.31,113.90
11/12/2021,114.32,4554672,114.50,114.585,114.26
11/11/2021,114.34,3937147,114.51,114.57,114.30
11/10/2021,114.55,11620260,115.11,115.14,114.395
11/09/2021,115.33,8960485,115.38,115.50,115.29
11/08/2021,115.01,4922756,115.14,115.15,114.95
11/05/2021,115.22,7283109,114.99,115.3199,114.9001
11/04/2021,114.77,6618091,114.51,114.84,114.48
11/03/2021,114.39,6421690,114.65,114.69,114.2501
11/02/2021,114.62,5317021,114.43,114.69,114.43
11/01/2021,114.39,6198199,114.16,114.42,114.14
10/29/2021,114.64,10047910,114.35,114.78,114.35
10/28/2021,114.67,5916055,114.71,114.825,114.57
10/27/2021,114.76,8048651,114.66,114.915,114.425
10/26/2021,114.38,5429821,114.25,114.38,114.11
10/25/2021,114.17,8569649,114.06,114.27,114.06
10/22/2021,114.06,3528834,113.97,114.1399,113.895
10/21/2021,113.84,5228294,114.01,114.04,113.84
10/20/2021,114.08,6183697,114.17,114.29,114.06
10/19/2021,114.16,5041044,114.37,114.37,114.16
10/18/2021,114.49,5575055,114.33,114.56,114.25
10/15/2021,114.57,4644812,114.61,114.63,114.51
10/14/2021,114.85,4094516,114.70,114.85,114.63
10/13/2021,114.63,5522671,114.43,114.64,114.415
10/12/2021,114.37,3688376,114.17,114.38,114.11
10/11/2021,113.95,2178356,114.01,114.065,113.94
10/08/2021,114.13,4581904,114.31,114.35,114.07
10/07/2021,114.38,4456194,114.46,114.50,114.34
10/06/2021,114.70,4893390,114.68,114.73,114.59
10/05/2021,114.65,7422000,114.82,114.867,114.61
10/04/2021,114.92,4180607,114.92,115.03,114.795
10/01/2021,115.00,7064531,114.82,115.06,114.79
09/30/2021,114.83,5348804,114.77,114.86,114.69
09/29/2021,114.85,6161321,114.97,115.06,114.715
09/28/2021,114.77,7017089,114.90,114.9999,114.695
09/27/2021,115.25,5630622,115.21,115.375,115.185
09/24/2021,115.41,4461937,115.50,115.5055,115.319
09/23/2021,115.61,8265009,115.93,115.94,115.57
09/22/2021,116.18,7139913,116.11,116.25,116.005
09/21/2021,116.14,5225248,116.13,116.17,116.045
09/20/2021,116.09,5464713,116.02,116.17,115.975
09/17/2021,115.87,5742502,115.80,115.875,115.7428
09/16/2021,115.97,4265519,115.95,116.11,115.905
09/15/2021,116.17,3448467,116.29,116.2929,116.09
09/14/2021,116.28,4183570,116.07,116.38,116.07
09/13/2021,116.02,3954120,116.00,116.075,115.96
09/10/2021,115.87,3957348,115.99,116.01,115.7801
09/09/2021,116.10,3332649,115.84,116.147,115.755
09/08/2021,115.73,3417489,115.70,115.82,115.62
09/07/2021,115.54,3579852,115.64,115.6457,115.4737
09/03/2021,115.85,5274341,115.84,115.89,115.7707
09/02/2021,116.05,5427270,116.02,116.06,115.92
09/01/2021,115.93,4153988,116.02,116.02,115.81
08/31/2021,116.06,6763941,116.18,116.285,116.02
08/30/2021,116.23,3706042,116.015,116.23,116.00
08/27/2021,116.10,5545551,115.81,116.10,115.7146
08/26/2021,115.78,4879211,115.76,115.79,115.6444
08/25/2021,115.77,5452000,115.99,116.011,115.681
08/24/2021,115.99,5875388,116.08,116.14,115.96
08/23/2021,116.16,6585417,116.09,116.18,116.04
08/20/2021,116.16,2897840,116.18,116.21,116.08
08/19/2021,116.15,4581313,116.12,116.155,116.02
08/18/2021,115.95,3981911,115.94,116.03,115.80
08/17/2021,115.94,5469248,115.98,116.09,115.93
08/16/2021,116.03,3693626,116.14,116.27,116.03
08/13/2021,115.97,4599811,115.65,115.97,115.6401
08/12/2021,115.55,5017250,115.49,115.5799,115.40
08/11/2021,115.54,6674630,115.46,115.70,115.34
08/10/2021,115.43,7332093,115.65,115.65,115.43
08/09/2021,115.58,5298656,115.89,115.96,115.58
08/06/2021,115.79,3811953,115.93,116.02,115.78
08/05/2021,116.31,3283363,116.46,116.48,116.28
08/04/2021,116.57,4654252,116.77,116.83,116.30
08/03/2021,116.58,3715333,116.56,116.69,116.5306
08/02/2021,116.54,5753765,116.36,116.68,116.305
07/30/2021,116.46,5552109,116.36,116.485,116.3532
07/29/2021,116.30,6629507,116.29,116.36,116.225
07/28/2021,116.49,5463630,116.24,116.49,116.14
07/27/2021,116.38,5423774,116.35,116.40,116.2727
07/26/2021,116.11,7127420,116.30,116.33,116.085
07/23/2021,116.21,4441022,116.03,116.22,116.03
07/22/2021,116.29,8176256,116.03,116.35,116.03
07/21/2021,116.02,9686429,116.075,116.15,115.92
07/20/2021,116.40,8474754,116.78,116.82,116.32
07/19/2021,116.51,6688067,116.39,116.6085,116.35
07/16/2021,115.90,3869611,115.77,115.96,115.76
07/15/2021,116.00,4480890,115.94,116.02,115.7222
07/14/2021,115.75,4977399,115.59,115.76,115.569
07/13/2021,115.36,5145171,115.65,115.76,115.3022
07/12/2021,115.61,4266616,115.80,115.805,115.60
07/09/2021,115.68,4750779,115.735,115.76,115.68
07/08/2021,116.06,6538371,116.04,116.18,115.96
07/07/2021,115.93,7786358,115.83,116.015,115.75
07/06/2021,115.73,7372886,115.51,115.83,115.51
07/02/2021,115.36,4312838,115.23,115.37,115.17
07/01/2021,115.11,4744859,115.15,115.19,115.01
06/30/2021,115.33,6653138,115.36,115.45,115.30
06/29/2021,115.25,5097132,115.06,115.25,115.045
06/28/2021,115.19,5739041,115.04,115.23,115.04
06/25/2021,114.86,6496582,115.11,115.13,114.7516
06/24/2021,115.09,8357942,115.10,115.17,115.045
06/23/2021,115.05,5070470,115.06,115.138,114.99
06/22/2021,115.11,6485071,114.83,115.14,114.83
06/21/2021,114.99,6875480,115.06,115.12,114.921
06/18/2021,115.29,5690395,115.05,115.39,114.91
06/17/2021,114.98,7641819,114.792,115.25,114.785
06/16/2021,114.62,8654214,115.07,115.1285,114.51
06/15/2021,114.99,8230360,114.90,115.02,114.87
06/14/2021,114.94,3270788,115.18,115.18,114.935
06/11/2021,115.23,3781860,115.31,115.32,115.16
06/10/2021,115.28,4021902,115.30,115.31,114.8605
06/09/2021,115.04,3643098,115.43,115.43,114.97
06/08/2021,114.81,4395332,114.84,114.87,114.78
06/07/2021,114.60,3728371,113.97,114.64,113.97
06/04/2021,114.68,4535897,114.39,114.68,114.22
06/03/2021,114.21,3464339,114.31,114.46,114.21
06/02/2021,114.48,6103871,114.45,114.51,114.30
06/01/2021,114.33,6209773,114.36,114.40,114.164
05/28/2021,114.55,6768941,114.55,114.68,114.50
05/27/2021,114.55,5072323,114.61,114.62,114.45
05/26/2021,114.69,3969393,114.13,114.80,114.13
05/25/2021,114.73,6351673,114.58,114.75,114.0285
05/24/2021,114.45,3867733,114.50,114.51,114.38
05/21/2021,114.34,3873173,114.36,114.40,114.23
05/20/2021,114.29,6243292,114.08,114.30,114.08
05/19/2021,113.90,6892441,114.62,114.62,113.79
05/18/2021,114.06,3674624,114.11,114.11,114.03
05/17/2021,114.20,4926557,114.21,114.25,114.15
05/14/2021,114.30,3985440,114.22,114.30,114.1219
05/13/2021,114.04,6772308,113.90,114.06,113.78
05/12/2021,113.78,7000777,113.98,114.01,113.78
05/11/2021,114.18,6161678,114.23,114.38,114.13
05/10/2021,114.43,5576535,114.61,114.72,114.40
05/07/2021,114.61,7005205,114.85,114.97,114.57
05/06/2021,114.64,4739453,114.55,114.71,114.53
05/05/2021,114.62,3329011,114.45,114.62,114.45
05/04/2021,114.53,6291480,114.55,114.70,114.41
05/03/2021,114.39,5939532,114.40,114.59,114.33
04/30/2021,114.49,6469535,114.41,114.515,114.33
04/29/2021,114.37,6254127,114.14,114.37,114.09
04/28/2021,114.43,7078559,114.45,114.4685,114.20
04/27/2021,114.37,3823347,115.13,115.13,114.37
04/26/2021,114.65,3480303,114.74,114.8015,114.65
04/23/2021,114.75,3813862,114.81,115.086,114.6415
04/22/2021,114.77,4571030,114.74,114.80,114.59
04/21/2021,114.74,5511435,114.60,114.74,114.53
04/20/2021,114.63,4322279,114.42,114.67,114.39
04/19/2021,114.45,5072766,114.00,114.50,114.00
04/16/2021,114.54,3663673,114.56,114.665,114.50
04/15/2021,114.84,6753201,113.78,114.98,113.78
04/14/2021,114.39,3620530,114.41,114.44,114.28
04/13/2021,114.48,4040521,114.12,114.48,114.11
04/12/2021,114.15,3845011,114.172,114.172,114.00
04/09/2021,114.18,7467129,114.11,114.33,114.035
04/08/2021,114.31,4932133,114.18,114.31,114.13
04/07/2021,114.03,4505626,114.12,114.2968,114.025
04/06/2021,114.21,4864120,113.98,114.22,113.95
04/05/2021,113.81,9230132,113.78,113.89,113.69
04/01/2021,114.04,10767220,113.93,114.05,113.83
03/31/2021,113.83,6309151,113.84,113.98,113.71
03/30/2021,113.81,4996946,113.64,113.85,113.525
03/29/2021,113.72,7630810,113.52,114.00,113.52
03/26/2021,113.91,4333939,113.91,114.075,113.86
03/25/2021,114.10,5177994,114.24,114.29,113.99
03/24/2021,114.16,6352692,113.90,114.20,113.86
03/23/2021,114.02,5525062,113.89,114.04,113.77
03/22/2021,113.73,5468656,113.70,113.80,113.6022
03/19/2021,113.51,4701406,113.40,113.54,113.33
03/18/2021,113.42,6222247,113.32,113.55,113.20
03/17/2021,113.86,6229776,113.55,113.9778,113.48
03/16/2021,113.87,3991008,113.97,114.032,113.78
03/15/2021,113.91,5001788,113.60,114.01,113.60
03/12/2021,113.79,5066976,113.88,113.91,113.705
03/11/2021,114.44,8827827,114.47,114.54,114.295
03/10/2021,114.45,6936942,114.30,114.50,114.275
03/09/2021,114.26,5676798,114.20,114.31,114.00
03/08/2021,113.83,5639392,114.20,114.23,113.83
03/05/2021,114.28,8675690,114.17,114.3197,114.05
03/04/2021,114.36,5953553,114.79,114.80,114.26
03/03/2021,114.69,10317490,114.80,114.83,114.60
03/02/2021,115.11,10111340,115.04,115.12,114.95
03/01/2021,115.09,13018090,114.97,115.5899,114.89
02/26/2021,115.34,11333380,114.96,115.39,114.5915
02/25/2021,114.41,14926910,115.01,115.29,114.20
02/24/2021,115.47,6232271,115.06,115.50,115.01
02/23/2021,115.51,6035405,115.75,115.75,115.27
02/22/2021,115.48,4894556,115.76,115.8662,115.48
02/19/2021,115.84,4673220,116.0187,116.06,115.7515
02/18/2021,116.20,5333967,116.14,116.28,116.03
02/17/2021,116.26,7795885,116.22,116.29,116.145
02/16/2021,116.03,5682753,116.22,116.23,116.02
02/12/2021,116.58,3284934,116.67,116.74,116.5418
02/11/2021,116.85,3470842,117.03,117.03,116.80
02/10/2021,116.99,4378370,116.97,117.01,116.92
02/09/2021,116.88,4533527,116.94,116.97,116.8215
02/08/2021,116.83,4704165,116.75,116.9285,116.72
02/05/2021,116.71,3446584,116.91,116.96,116.70
02/04/2021,116.86,5287405,116.75,116.89,116.69
02/03/2021,116.91,5492357,116.97,116.99,116.87
02/02/2021,117.05,7323411,116.99,117.09,116.97
02/01/2021,117.23,6621900,117.20,117.26,117.0915
